년,상세영업상태명,학교종류,학교명,주소,경도,위도,구,행정동
2020,영업,어린이집,선릉삼성어린이집,서울특별시 강남구 삼성동 142-11번지 1층 ,127.051114098871,37.5066641392219,강남구,삼성2동
2020,영업,어린이집,삼성서울병원어린이집,서울특별시 강남구 수서동 745-2번지 ,127.088005604487,37.485543943298396,강남구,일원본동
2020,영업,유치원,여나유치원,서울특별시 서초구 서초동 1685번지 (1층?) ,127.015589043207,37.498534140406704,서초구,서초4동
2020,영업,유치원,하나유치원,서울특별시 서초구 잠원동 56-3 잠원한신아파트,127.01075712837,37.5159585949015,서초구,잠원동
2020,영업,유치원,송곡유치원,서울특별시 성동구 홍익동 150번지 (지상2층) ,127.03476892520099,37.565100302872,성동구,왕십리도선동
2020,영업,어린이집,성수어린이집(구립),서울특별시 성동구 성수동2가 299-128번지 ,127.05328382761999,37.5495018212736,성동구,성수2가3동
2020,영업,어린이집,금옥어린이집,서울특별시 성동구 옥수동 544번지 ,127.012660501253,37.5495576323806,성동구,옥수동
2020,영업,어린이집,금사어린이집,서울특별시 성동구 금호동4가 803번지 ,127.02234625334299,37.5471555311929,성동구,금호4가동
2020,영업,어린이집,용답어린이집,서울특별시 성동구 용답동 223-5번지 ,127.056610087925,37.561552582751396,성동구,용답동
2020,영업,어린이집,금봉어린이집,서울특별시 성동구 금호동1가 37-1번지 ,127.02062001308501,37.557267266497504,성동구,금호1가동
2020,영업,어린이집,단비어린이집,서울특별시 성동구 용답동 83-5번지 ,127.05172292238701,37.5647642915149,성동구,용답동
2020,영업,어린이집,도선어린이집,서울특별시 성동구 홍익동 385-1번지 ,127.030623953494,37.566062033478396,성동구,왕십리도선동
2020,영업,어린이집,동호어린이집,서울특별시 성동구 금호동3가 1266-2번지 ,127.01887829852801,37.5498653376056,성동구,금호2.3가동
2020,영업,어린이집,무학어린이집,서울특별시 성동구 하왕십리동 1053번지 금호베스트빌임대관리동 1층 ,127.02552915600401,37.5619277428564,성동구,왕십리2동
2020,영업,어린이집,서마어린이집,서울특별시 성동구 마장동 527-10번지 ,127.036880389818,37.5717246274514,성동구,마장동
2020,영업,어린이집,금일어린이집,서울특별시 성동구 금호동1가 622-1번지 지상3층 ,127.02484272128001,37.5536599097999,성동구,금호1가동
2020,영업,어린이집,한솔어린이집,서울특별시 성동구 성수동1가 656-522번지 ,127.045877101002,37.550041025317896,성동구,성수1가2동
2020,영업,어린이집,대현어린이집,서울특별시 성동구 금호동1가 127-2번지 ,127.02161285472499,37.5548380705631,성동구,금호1가동
2020,영업,어린이집,성일어린이집,서울특별시 성동구 성수동1가 706-1번지 ,127.046466620256,37.5504906082949,성동구,성수1가2동
2020,영업,어린이집,은행어린이집,서울특별시 성동구 행당동 139번지 ,127.03610961881901,37.5585185699042,성동구,행당1동
2020,영업,어린이집,본향어린이집,서울특별시 성동구 금호동1가 48-1번지 (지상1층) ,127.022999590535,37.5575676654906,성동구,금호1가동
2020,영업,어린이집,연꽃어린이집,서울특별시 성동구 옥수동 204-8번지 ,127.012700526168,37.5404243664399,성동구,옥수동
2020,영업,어린이집,꼬마에디슨어린이집,서울특별시 성동구 금호동1가 633번지 ,127.027090900661,37.5518471906793,성동구,금호1가동
2020,영업,어린이집,하니삐아제 어린이집,서울특별시 성동구 금호동4가 800번지 대우아파트 관리사무소내 ,127.01965834096201,37.5459630231884,성동구,금호4가동
2020,영업,어린이집,동산어린이집,서울특별시 성동구 성수동1가 668-73번지 ,127.042793417531,37.5466085755162,성동구,성수1가2동
2020,영업,어린이집,행응어린이집,서울특별시 성동구 행당동 341-46번지 ,127.03113778876998,37.553137701751396,성동구,행당2동
2020,영업,어린이집,벽산어린이집,서울특별시 성동구 금호동1가 632번지 벽산아파트(종합사회복지관상가) ,127.02581378192,37.5543352056905,성동구,금호1가동
2020,영업,어린이집,성동구립진터마루 어린이집,서울특별시 성동구 성수동1가 171번지 ,127.047337046651,37.5387220498997,성동구,성수1가1동
2020,영업,어린이집,마장어린이집,서울특별시 성동구 마장동 780번지 ,127.045504665877,37.5664435223728,성동구,마장동
2020,영업,어린이집,성동종합사회복지관내 성모어린이집,서울특별시 성동구 마장동 527-2번지 ,127.033638619301,37.570372403453796,성동구,마장동
2020,영업,어린이집,한양대학교 한양어린이집,서울특별시 성동구 행당동 17번지 ,127.042458701822,37.5585455211864,성동구,사근동
2020,영업,어린이집,홍익어린이집,서울특별시 성동구 상왕십리동 130-20번지 ,127.02353631555,37.5686969146784,성동구,왕십리도선동
2020,영업,유치원,한양여대부속유치원,서울특별시 성동구 행당동 17 (지하1층),127.042458701822,37.5585455211864,성동구,사근동
2020,영업,어린이집,기독어린이집,서울특별시 금천구 시흥동 952-3번지 ,126.905325107243,37.4416838701647,금천구,시흥3동
2020,영업,어린이집,근로복지공단모아래어린이집,서울특별시 금천구 가산동 219-21번지 근로복지공단 아파트 ,126.890462785558,37.476316379078,금천구,가산동
2020,영업,유치원,충신유치원,서울특별시 용산구 이촌동 409번지 한가람APT 단지내 ,126.97350150985001,37.5207060373619,용산구,이촌1동
2020,폐업,유치원,유성유치원,서울특별시 용산구 이태원동 253-7번지 ,126.99061230350901,37.540552853261296,용산구,이태원2동
2020,영업,유치원,사랑유치원,서울특별시 성북구 종암동 99-10번지 ,127.03626300426501,37.5998534512943,성북구,종암동
2020,영업,유치원,영재유치원,서울특별시 성북구 종암동 45-31번지 ,127.034708331317,37.597464107468795,성북구,종암동
2020,폐업,어린이집,성덕어린이집(구립),서울특별시 성동구 성수동2가 513-1번지 (지상1층) ,127.05303967436701,37.5371423128219,성동구,성수2가1동
2020,영업,어린이집,영안어린이집,서울특별시 중랑구 묵동 21번지 ,127.08803739749399,37.615092445063894,중랑구,묵1동
2020,영업,어린이집,신당삼성어린이집,서울특별시 중구 신당동 357-9번지 ,127.0092503701,37.5557280242366,중구,다산동
2020,폐업,어린이집,스타터즈어린이집,서울특별시 용산구 이촌동 418,126.966499151392,37.52117186953871,용산구,이촌1동
